node,Proportional,Uniform
932,299.3961,604.4264
933,561.2629,952.8602
934,211.3834,341.9293
935,567.4681,1189.2056
936,327.6674,462.0681
937,915.5227,1465.5352
938,227.4050,403.5004
939,117.2784,232.9482
940,282.2221,526.5888
941,496.6057,850.2003
942,501.4092,855.7039
943,409.9840,632.7739
944,111.1515,201.9724
945,271.1156,449.5935
946,396.3030,797.8120
947,247.0661,369.9346
948,215.0436,369.4528
949,197.4153,419.0066
950,247.0502,468.8615
951,675.3304,1566.6596
952,131.6460,326.2996
953,472.6851,936.6777
954,211.4046,391.1806
955,420.5872,696.4204
956,167.5027,312.7321
957,624.0639,1074.2577
958,163.8816,310.8409
959,146.3386,341.4540
960,252.1432,484.3245
961,406.7191,764.0800
962,316.6374,604.4239
963,272.1929,417.8364
964,214.5020,341.9566
965,195.4409,358.2599
966,221.5524,357.0625
967,238.8328,435.7246
968,146.1833,249.4765
969,188.8967,375.0319
970,240.8764,436.9500
971,347.7165,635.4437
972,188.7301,390.3338
973,363.1051,560.9380
974,287.0878,559.3294
975,319.1724,633.8662
976,365.1172,560.0211
977,332.1830,811.0553
978,281.6787,542.7001
979,378.3160,1156.0981
980,171.0234,387.2307
981,399.0663,822.8048
982,347.2068,591.1822
983,297.1282,587.9297
984,274.4162,509.8177
985,130.2621,295.7027
986,227.8625,619.7287
987,173.1238,622.0285
988,221.8235,776.4646
989,145.4695,355.5451
990,73.8791,216.5469
991,86.4097,262.5006
992,348.5223,491.8753
993,298.9510,903.6308
994,253.5409,469.5070
995,329.6785,750.7316
996,578.6816,770.4811
997,462.1217,738.7654
998,1068.5570,1586.8332
999,442.9907,487.2803
1000,420.5761,800.5256
1001,343.6661,595.8909
1002,701.7379,1365.8888
1003,306.1258,596.1491
1004,349.1061,767.3463
1005,334.7354,720.9759
1006,1036.9848,1523.6216
1007,417.8112,1455.7464
1008,261.7435,752.4290
1009,516.7892,1410.4014
1010,978.5939,2088.6569
1011,679.2050,1490.4850
1012,382.9298,1034.4739
1013,575.2698,1876.3754
1014,131.1649,639.8288
1015,186.5798,655.7865
1016,193.2219,810.5430
1017,493.4088,1584.6544
1018,150.8413,778.1217
1019,362.8187,1247.6611
1020,45.4779,217.3478
1021,558.5016,1846.4429
1022,158.8064,846.4068
1023,104.6056,512.3797
1024,333.5545,809.2399
1025,340.5085,1624.3340
1026,123.5629,548.2778
1027,245.7853,1001.7973
1028,148.7853,543.6318
1029,50.5879,266.1770
1030,566.2841,1254.5995
1031,1016.0180,1131.6569
1032,1679.0791,1235.7408
1033,1301.0471,1037.7139
1034,757.6972,649.3263
1035,41284.2670,19725.8082
1036,1819.7834,1255.4029
1037,2755.6911,2165.6331
1038,9274.5187,6175.4454
1039,10567.7524,5708.1692
1040,582.2739,1084.8981
1041,623.8087,1162.6248
1042,900.8439,1180.5663
1043,568.8740,1038.2893
1044,298.9037,659.2775
1045,881.2154,1117.7323
1046,226.3957,330.6104
1047,176.3156,392.2359
1048,296.4115,518.0621
1049,369.9181,613.1897
